Uniprot ID	RefSeq	Gene ID	Protein Entry 	Protein names
I1L8T1	XP_003537269.1;XP_003537270.1;	GLYMA.10G050300	I1L8T1_SOYBN	acidPPc domain-containing protein
A0A0R0EG04		GLYMA.20G248000	A0A0R0EG04_SOYBN	Lipase_3 domain-containing protein
I1KYA1	XP_003532133.2;XP_006586090.1;	GLYMA.08G318300	I1KYA1_SOYBN	Uncharacterized protein
A0A0R0FC46		GLYMA.18G239800	A0A0R0FC46_SOYBN	Glyco_transf_28 domain-containing protein
I1JI88	XP_014625367.1;	GLYMA.02G257000	I1JI88_SOYBN	Phosphoinositide phospholipase C (EC 3.1.4.11)
I1KRW2	XP_003532702.1;XP_014634302.1;	GLYMA.08G098700	I1KRW2_SOYBN	Alpha-1,3-glucosyltransferase (EC 2.4.1.-)
I1KSN1		GLYMA.08G124400	I1KSN1_SOYBN	Uncharacterized protein
A0A0R0HV52	XP_006589281.1;	GLYMA.10G183000	A0A0R0HV52_SOYBN	Long-chain-alcohol oxidase (EC 1.1.3.20)
A0A0R0FIS4	XP_003549470.2;	GLYMA.17G259900	A0A0R0FIS4_SOYBN	Lipase_GDSL domain-containing protein
I1MZE6	XP_003553030.1;	GLYMA.18G040500	I1MZE6_SOYBN	Uncharacterized protein
A0A0R0KIE3		GLYMA.03G009100	A0A0R0KIE3_SOYBN	Post-GPI attachment to proteins factor 3
I1MSX3	XP_003549515.1;	GLYMA.17G069100	I1MSX3_SOYBN	Uncharacterized protein
K7KGN3	XP_003521699.1;	GLYMA.03G236500	K7KGN3_SOYBN	ACB domain-containing protein
I1MBB7		GLYMA.14G194300	I1MBB7_SOYBN	Uncharacterized protein
I1LC79	XP_003536226.1;XP_014618749.1;	GLYMA.10G183200	I1LC79_SOYBN	Phosphatidate cytidylyltransferase (EC 2.7.7.41)
I1JBY9		GLYMA.02G030900	I1JBY9_SOYBN	Fatty acid hydroxylase domain-containing protein
K7LEQ9	XP_003534180.1;	GLYMA.09G187400	K7LEQ9_SOYBN	Abhydro_lipase domain-containing protein
A0A0R0IXM2		GLYMA.07G007700	A0A0R0IXM2_SOYBN	Phospholipid-transporting ATPase (EC 7.6.2.1)
K7N5J0	XP_006606597.1;	GLYMA.20G248000	K7N5J0_SOYBN	Lipase_3 domain-containing protein
I1K7F8	XP_006581145.1;	GLYMA.06G020500	I1K7F8_SOYBN	Phospholipase D (EC 3.1.4.4)
I1L692		GLYMA.09G248900	I1L692_SOYBN	Biotin carboxyl carrier protein of acetyl-CoA carboxylase
A0A0R0HMK4		GLYMA.11G054900	A0A0R0HMK4_SOYBN	Uncharacterized protein
I1LRR5	XP_006592380.1;XP_014620141.1;	GLYMA.12G100100	I1LRR5_SOYBN	Uncharacterized protein
A0A0R0JPS2		GLYMA.05G015400	A0A0R0JPS2_SOYBN	Phospholipid-transporting ATPase (EC 7.6.2.1)
A0A0R0GX50	XP_006594015.1;	GLYMA.13G121500	A0A0R0GX50_SOYBN	Lipase_3 domain-containing protein
I1KIU5	XP_003528915.1;	GLYMA.07G089400	I1KIU5_SOYBN	Abhydro_lipase domain-containing protein
A0A0R0KDC2		GLYMA.03G009100	A0A0R0KDC2_SOYBN	Post-GPI attachment to proteins factor 3
K7LVW4	XP_006592816.1;XP_006592817.1;	GLYMA.12G194400	K7LVW4_SOYBN	Uncharacterized protein
A0A0R0EDA7		GLYMA.20G192700	A0A0R0EDA7_SOYBN	Terpene cyclase/mutase family member (EC 5.4.99.-)
I1JK83		GLYMA.03G009100	I1JK83_SOYBN	Post-GPI attachment to proteins factor 3
I1NGR2	XP_006606096.1;	GLYMA.20G156500	I1NGR2_SOYBN	Uncharacterized protein
K7M512	XP_003545607.1;	GLYMA.14G050400	K7M512_SOYBN	Lipase
I1KND5	XP_006582855.1;	GLYMA.07G261000	I1KND5_SOYBN	Autophagy-related protein
I1MG63		GLYMA.15G132500	I1MG63_SOYBN	Fatty acid hydroxylase domain-containing protein
A0A0R0FEP3	XP_006601506.1;	GLYMA.17G173600	A0A0R0FEP3_SOYBN	Lipase_3 domain-containing protein
I1LBC0		GLYMA.10G153900	I1LBC0_SOYBN	Lipoxygenase (EC 1.13.11.-)
A0A0R0ELP3	XP_014627601.1;	GLYMA.19G138500	A0A0R0ELP3_SOYBN	Uncharacterized protein
K7KYH8	XP_003526366.1;	GLYMA.06G315100	K7KYH8_SOYBN	Phospholipid-transporting ATPase (EC 7.6.2.1)
I1K7A2		GLYMA.06G015400	I1K7A2_SOYBN	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1
C6TIK0	NP_001240199.1;	GLYMA.15G072800	C6TIK0_SOYBN	Sphingolipid delta(4)-desaturase DES1-like (EC 1.14.19.17)
I1JWS3	XP_003523007.1;	GLYMA.04G166100	I1JWS3_SOYBN	Phospholipid-transporting ATPase (EC 7.6.2.1)
I1JSY8	XP_003523254.1;	GLYMA.04G020400	I1JSY8_SOYBN	Phospholipase D (EC 3.1.4.4)
K7KLE8	XP_003523213.1;	GLYMA.04G209700	K7KLE8_SOYBN	Uncharacterized protein
A0A0R0GU71	XP_006594697.1;	GLYMA.13G261200	A0A0R0GU71_SOYBN	Uncharacterized protein
A0A0R0GMA5		GLYMA.13G121500	A0A0R0GMA5_SOYBN	Lipase_3 domain-containing protein
I1KYF1	XP_003530776.1;	GLYMA.08G324300	I1KYF1_SOYBN	Uncharacterized protein
I1KUR5	XP_014634586.1;XP_014634587.1;XP_014634588.1;	GLYMA.08G190400	I1KUR5_SOYBN	Phospholipid-transporting ATPase (EC 7.6.2.1)
A0A0R0GM95		GLYMA.13G121500	A0A0R0GM95_SOYBN	Lipase_3 domain-containing protein
I1MR53		GLYMA.17G013000	I1MR53_SOYBN	Autophagy-related protein
I1LC39	XP_003536202.1;	GLYMA.10G179400	I1LC39_SOYBN	3-ketoacyl-CoA synthase (EC 2.3.1.-)
K7KRG8	XP_006580416.1;	GLYMA.05G242000	K7KRG8_SOYBN	Uncharacterized protein
I1JDX6	XP_003518687.1;	GLYMA.02G100600	I1JDX6_SOYBN	Uncharacterized protein
A0A0R0F8G6		GLYMA.18G068800	A0A0R0F8G6_SOYBN	Neutral ceramidase (EC 3.5.1.23)
I1MY47	XP_006601361.1;	GLYMA.17G259600	I1MY47_SOYBN	Lipase_GDSL domain-containing protein
K7K127	XP_014619281.1;	GLYMA.01G003200	K7K127_SOYBN	Acetyltransf_11 domain-containing protein
I1LIG9	XP_003537714.1;	GLYMA.11G091200	I1LIG9_SOYBN	CDP-diacylglycerol--inositol 3-phosphatidyltransferase (EC 2.7.8.11)
K7KZD1		GLYMA.07G030000	K7KZD1_SOYBN	Uncharacterized protein
I1MF78	XP_003546104.1;	GLYMA.15G098500	I1MF78_SOYBN	Acyl carrier protein
A0A0R0JKE0		GLYMA.06G020500	A0A0R0JKE0_SOYBN	Phospholipase D (EC 3.1.4.4)
I1N1V6	XP_003552087.1;	GLYMA.18G146900	I1N1V6_SOYBN	Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase (EC 4.2.1.134)
I1MY10	XP_003550409.1;	GLYMA.17G255400	I1MY10_SOYBN	AB hydrolase-1 domain-containing protein
Q9ZTB2	NP_001237748.1;	GLYMA.06G065600	Q9ZTB2_SOYBN	Flotillin-like
K7KRG7	XP_003524354.2;	GLYMA.05G242000	K7KRG7_SOYBN	Uncharacterized protein
I1KZU7	XP_003534602.1;	GLYMA.09G005600	I1KZU7_SOYBN	Uncharacterized protein
I1MCR2		GLYMA.15G016500	I1MCR2_SOYBN	Uncharacterized protein
A0A0R4J5W4	NP_001237838.2;	GLYMA.18G202600	A0A0R4J5W4_SOYBN	Uncharacterized protein
A0A0R0KDM3		GLYMA.03G016600	A0A0R0KDM3_SOYBN	Uncharacterized protein
C6TK92	NP_001241523.1;	GLYMA.19G028800	C6TK92_SOYBN	Biotin carboxyl carrier protein of acetyl-CoA carboxylase
I1LBB9	XP_003536076.1;	GLYMA.10G153900	I1LBB9_SOYBN	Lipoxygenase (EC 1.13.11.-)
K7KSU2	XP_014632408.1;	GLYMA.06G031600	K7KSU2_SOYBN	AMP-binding domain-containing protein
K7MVX5	XP_006603834.1;	GLYMA.19G013200	K7MVX5_SOYBN	Uncharacterized protein
A0A0R0FEC7	XP_014624941.1;	GLYMA.17G173600	A0A0R0FEC7_SOYBN	Lipase_3 domain-containing protein
I1LRE5	XP_003539817.1;	GLYMA.12G087400	I1LRE5_SOYBN	Fatty acyl-CoA reductase (EC 1.2.1.84)
K7KLL9	XP_006578821.1;	GLYMA.04G220200	K7KLL9_SOYBN	ABC1 domain-containing protein
I1KH24	XP_003528334.1;XP_006583126.1;XP_014633165.1;	GLYMA.07G031100	I1KH24_SOYBN	Phospholipase D (EC 3.1.4.4)
I1L8F0		GLYMA.10G038000	I1L8F0_SOYBN	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 2 (Ribophorin-2)
I1JVK6	XP_003522821.2;	GLYMA.04G110300	I1JVK6_SOYBN	GP-PDE domain-containing protein
K7LYY9		GLYMA.13G108100	K7LYY9_SOYBN	Uncharacterized protein
C6T607	NP_001239950.1;	GLYMA.20G114600	C6T607_SOYBN	GLTP domain-containing protein
K7KV97	XP_003528061.1;	GLYMA.06G156300	K7KV97_SOYBN	Uncharacterized protein
K7LFK0	XP_003534407.1;XP_006587704.1;XP_006587706.1;	GLYMA.09G230400	K7LFK0_SOYBN	Protein RFT1 homolog
K7MWA8	XP_003554924.1;	GLYMA.19G032900	K7MWA8_SOYBN	Uncharacterized protein
I1KCQ5	XP_003527064.1;	GLYMA.06G191300	I1KCQ5_SOYBN	ABC transporter domain-containing protein
K7L7M8	XP_006585521.1;	GLYMA.08G194100	K7L7M8_SOYBN	Phospholipase D (EC 3.1.4.4)
K7LTZ8	XP_003539872.2;XP_014620139.1;	GLYMA.12G100100	K7LTZ8_SOYBN	Uncharacterized protein
A0A0R0F7T4		GLYMA.17G029400	A0A0R0F7T4_SOYBN	Lipase_3 domain-containing protein
I1LDP8	XP_003535608.1;	GLYMA.10G233700	I1LDP8_SOYBN	Uncharacterized protein
I1MY41	XP_003550429.1;	GLYMA.17G259000	I1MY41_SOYBN	Uncharacterized protein
A0A0R0IR46		GLYMA.08G228800	A0A0R0IR46_SOYBN	Phospholipid-transporting ATPase (EC 7.6.2.1)
K7KZD0	XP_003529803.1;	GLYMA.07G030000	K7KZD0_SOYBN	FA_desaturase domain-containing protein
K7LJ53	XP_006589063.1;	GLYMA.10G130800	K7LJ53_SOYBN	C2 domain-containing protein
A0A0R0I2C7		GLYMA.10G172100	A0A0R0I2C7_SOYBN	START domain-containing protein
I1LHD6	XP_003539359.1;	GLYMA.11G054900	I1LHD6_SOYBN	Uncharacterized protein
K7KYW6	XP_003529726.1;	GLYMA.07G007700	K7KYW6_SOYBN	Phospholipid-transporting ATPase (EC 7.6.2.1)
I1K8I9	XP_003526086.1;	GLYMA.06G058500	I1K8I9_SOYBN	3-ketoacyl-CoA synthase (EC 2.3.1.-)
C6SW27	NP_001238635.1;	GLYMA.18G244300	C6SW27_SOYBN	Acyl carrier protein
A0A0R0G0D4		GLYMA.15G132500	A0A0R0G0D4_SOYBN	Fatty acid hydroxylase domain-containing protein
I1LUH9	XP_003540371.1;XP_006592845.1;	GLYMA.12G205800	I1LUH9_SOYBN	Phospholipid-transporting ATPase (EC 7.6.2.1)
K7LQ73		GLYMA.11G185200	K7LQ73_SOYBN	Fatty acyl-CoA reductase (EC 1.2.1.84)
A0A0R0GBE8		GLYMA.14G081200	A0A0R0GBE8_SOYBN	Patatin (EC 3.1.1.-)
I1LK69		GLYMA.11G143000	I1LK69_SOYBN	Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase (EC 4.2.1.134)
A0A0R0EM68		GLYMA.20G198000	A0A0R0EM68_SOYBN	Non-lysosomal glucosylceramidase (NLGase) (EC 3.2.1.45)
I1MY48	XP_003550432.1;	GLYMA.17G259700	I1MY48_SOYBN	Lipase_GDSL domain-containing protein
A0A0R0KDB8		GLYMA.03G009100	A0A0R0KDB8_SOYBN	Post-GPI attachment to proteins factor 3
I1KIA1	XP_003528854.1;	GLYMA.07G070600	I1KIA1_SOYBN	Post-GPI attachment to proteins factor 3
C3VHQ8	NP_001236098.1;	GLYMA.04G077600	C3VHQ8_SOYBN	Oleosin
I1MC22	XP_006596538.1;	GLYMA.14G220600	I1MC22_SOYBN	Lipase_GDSL domain-containing protein
K7LFK3		GLYMA.09G230400	K7LFK3_SOYBN	Protein RFT1 homolog
I1LR38	XP_006592258.1;	GLYMA.12G075800	I1LR38_SOYBN	Uncharacterized protein
I1LQ58		GLYMA.12G045400	I1LQ58_SOYBN	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit (Oligosaccharyl transferase 48 kDa subunit)
I1KNP8		GLYMA.07G270900	I1KNP8_SOYBN	START domain-containing protein
I1LSK5	XP_003540021.1;	GLYMA.12G132800	I1LSK5_SOYBN	Long-chain-alcohol oxidase (EC 1.1.3.20)
I1K692	XP_003525340.1;XP_006580522.1;XP_006580523.1;XP_014631326.1;	GLYMA.05G217400	I1K692_SOYBN	Lipase_3 domain-containing protein
K7N362	XP_014628270.1;	GLYMA.20G127800	K7N362_SOYBN	Lipase
K7MUM4	XP_003551711.2;	GLYMA.18G251600	K7MUM4_SOYBN	Lipase_3 domain-containing protein
A0A0R0FE88		GLYMA.17G170900	A0A0R0FE88_SOYBN	Uncharacterized protein
I1L8E9	XP_003537048.1;	GLYMA.10G038000	I1L8E9_SOYBN	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 2 (Ribophorin-2)
A0A0R0KT61		GLYMA.02G081000	A0A0R0KT61_SOYBN	Glyco_transf_28 domain-containing protein
I1LF24	XP_003536712.1;	GLYMA.10G279800	I1LF24_SOYBN	Diphosphomevalonate decarboxylase (EC 4.1.1.33)
A0A0R0HX53		GLYMA.10G035200	A0A0R0HX53_SOYBN	Lipase_3 domain-containing protein (Fragment)
C6T4V3	NP_001238624.1;	GLYMA.11G143000	C6T4V3_SOYBN	Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase (EC 4.2.1.134)
G0T431	NP_001241112.1;	GLYMA.05G020500	G0T431_SOYBN	Phytase
B3TDK7	NP_001238692.1;	GLYMA.13G347700	B3TDK7_SOYBN	Lipoxygenase (EC 1.13.11.-)
A0A0R0J9I9	XP_006584126.1;	GLYMA.07G270900	A0A0R0J9I9_SOYBN	START domain-containing protein
A0A0R0IYT0		GLYMA.07G016700	A0A0R0IYT0_SOYBN	START domain-containing protein
I1NC04	XP_006604825.1;	GLYMA.19G236200	I1NC04_SOYBN	Mevalonate kinase (MK) (EC 2.7.1.36)
I1M5T2	XP_003543677.1;XP_006595164.1;	GLYMA.13G364900	I1M5T2_SOYBN	Phospholipase D (EC 3.1.4.4)
A0A0R0EP12		GLYMA.20G177000	A0A0R0EP12_SOYBN	Hydrolase_4 domain-containing protein
I1KCL6	XP_003527041.1;	GLYMA.06G187200	I1KCL6_SOYBN	Uncharacterized protein
I1MDQ4	XP_014623527.1;	GLYMA.15G047800	I1MDQ4_SOYBN	Patatin (EC 3.1.1.-)
A0A0R0KKY6		GLYMA.03G009100	A0A0R0KKY6_SOYBN	Post-GPI attachment to proteins factor 3
I1LDM2		GLYMA.10G231200	I1LDM2_SOYBN	Fatty acid hydroxylase domain-containing protein
A0A0R0GDS6		GLYMA.14G001500	A0A0R0GDS6_SOYBN	SSD domain-containing protein
A0A0R0EHJ7		GLYMA.19G007400	A0A0R0EHJ7_SOYBN	Phospholipid-transporting ATPase (EC 7.6.2.1)
K7N3N5	XP_006606095.1;	GLYMA.20G156300	K7N3N5_SOYBN	Putative non-specific lipid-transfer protein 20
A0A0R0LE95		GLYMA.01G003200	A0A0R0LE95_SOYBN	Acetyltransf_11 domain-containing protein
I1MYL8	XP_003551955.1;	GLYMA.18G012500	I1MYL8_SOYBN	PH domain-containing protein
A0A0R0ESK4		GLYMA.20G238000	A0A0R0ESK4_SOYBN	Phospholipase (EC 3.1.4.4)
A0A0R0H7Q3		GLYMA.13G357100	A0A0R0H7Q3_SOYBN	Uncharacterized protein
I1M2S6	XP_003543166.2;	GLYMA.13G261200	I1M2S6_SOYBN	Uncharacterized protein
K7KZL6	XP_003529848.1;	GLYMA.07G042900	K7KZL6_SOYBN	Acyl carrier protein
I1MPM0	XP_003548178.1;	GLYMA.16G182100	I1MPM0_SOYBN	Uncharacterized protein
I1L3B3	XP_006587345.1;XP_006587346.1;XP_006587347.1;XP_006587348.1;	GLYMA.09G143700	I1L3B3_SOYBN	Uncharacterized protein
I1NE44	XP_003556820.2;	GLYMA.20G054100	I1NE44_SOYBN	Lipoxygenase (EC 1.13.11.-)
I1KQN6	XP_006584922.1;XP_006584923.1;XP_006584924.1;XP_006584925.1;	GLYMA.08G057400	I1KQN6_SOYBN	Uncharacterized protein
A0A0R0G071	XP_014622818.1;	GLYMA.15G118700	A0A0R0G071_SOYBN	Acyl carrier protein
A0A0R0EGT5		GLYMA.19G007400	A0A0R0EGT5_SOYBN	Phospholipid-transporting ATPase (EC 7.6.2.1)
I1LGT9	XP_003539047.1;	GLYMA.11G036900	I1LGT9_SOYBN	Lipase_3 domain-containing protein
K7LH90	XP_006588677.1;	GLYMA.10G035200	K7LH90_SOYBN	Lipase_3 domain-containing protein
I1J5D7		GLYMA.01G035100	I1J5D7_SOYBN	Fatty acid hydroxylase domain-containing protein
I1MD20		GLYMA.15G026400	I1MD20_SOYBN	Lipoxygenase (EC 1.13.11.-)
A0A0R0LDE6	XP_003516268.2;	GLYMA.01G092900	A0A0R0LDE6_SOYBN	Phospholipid-transporting ATPase (EC 7.6.2.1)
K7LA79	XP_006586102.1;	GLYMA.08G321600	K7LA79_SOYBN	AAI domain-containing protein
A0A0R0J299		GLYMA.07G120500	A0A0R0J299_SOYBN	Uncharacterized protein
I1J9S3	XP_003517405.1;	GLYMA.01G205900	I1J9S3_SOYBN	Lipase_3 domain-containing protein
I1MKJ6	XP_003548425.1;	GLYMA.16G025200	I1MKJ6_SOYBN	Uncharacterized protein
K7N4G4	XP_006606308.1;XP_006606309.1;XP_014627770.1;	GLYMA.20G192700	K7N4G4_SOYBN	Terpene cyclase/mutase family member (EC 5.4.99.-)
I1L1D1	XP_006586991.1;	GLYMA.09G058900	I1L1D1_SOYBN	Uncharacterized protein
I1MCR0	XP_003546423.2;	GLYMA.15G016500	I1MCR0_SOYBN	Uncharacterized protein
K7MK55	XP_006600487.1;	GLYMA.17G060000	K7MK55_SOYBN	Uncharacterized protein
I1LTK2	XP_006592703.1;	GLYMA.12G174400	I1LTK2_SOYBN	Uncharacterized protein
A0A0R0IA74		GLYMA.09G187400	A0A0R0IA74_SOYBN	Abhydro_lipase domain-containing protein
I1KD58	XP_003527130.1;XP_006582043.1;	GLYMA.06G208900	I1KD58_SOYBN	Phospholipid-transporting ATPase (EC 7.6.2.1)
A0A0R0IFQ3		GLYMA.09G230400	A0A0R0IFQ3_SOYBN	Protein RFT1 homolog
A0A0R0KDW0	XP_014628900.1;	GLYMA.03G009100	A0A0R0KDW0_SOYBN	Post-GPI attachment to proteins factor 3
K7LFU3	XP_003533563.3;	GLYMA.09G243000	K7LFU3_SOYBN	Lipase_3 domain-containing protein
I1JBC1		GLYMA.02G008800	I1JBC1_SOYBN	Autophagy-related protein
C6TCD8	NP_001241376.1;	GLYMA.01G002400	C6TCD8_SOYBN	Uncharacterized protein
A0A0R0KDE2		GLYMA.03G009100	A0A0R0KDE2_SOYBN	Post-GPI attachment to proteins factor 3
K7LC18	XP_003534898.2;	GLYMA.09G058800	K7LC18_SOYBN	Uncharacterized protein
I1LP28	XP_003539999.3;	GLYMA.12G013800	I1LP28_SOYBN	AB hydrolase-1 domain-containing protein
I1LFE3	XP_003536780.1;	GLYMA.10G291700	I1LFE3_SOYBN	3-ketoacyl-CoA synthase (EC 2.3.1.-)
I1L1Y7	XP_006586640.1;XP_006586641.1;XP_006586642.1;	GLYMA.09G079900	I1L1Y7_SOYBN	Uncharacterized protein
I1L0H3	XP_006586857.1;	GLYMA.09G026800	I1L0H3_SOYBN	Fatty acid hydroxylase domain-containing protein
I1MDV5	XP_003547611.1;	GLYMA.15G052200	I1MDV5_SOYBN	AAI domain-containing protein
I1JTZ7	XP_003522274.1;	GLYMA.04G054100	I1JTZ7_SOYBN	Uncharacterized protein
A0A0R0GMA6		GLYMA.13G121500	A0A0R0GMA6_SOYBN	Lipase_3 domain-containing protein
A0A0R0FFL6		GLYMA.17G011500	A0A0R0FFL6_SOYBN	Uncharacterized protein
A0A0R0HJ01		GLYMA.11G185200	A0A0R0HJ01_SOYBN	Fatty acyl-CoA reductase (EC 1.2.1.84)
I1LTU2	XP_003540238.1;	GLYMA.12G183400	I1LTU2_SOYBN	Fatty acyl-CoA reductase (EC 1.2.1.84)
A0A0R0FLQ3		GLYMA.17G132300	A0A0R0FLQ3_SOYBN	3-hydroxy-3-methylglutaryl coenzyme A synthase (HMG-CoA synthase) (EC 2.3.3.10)
K7LFK4		GLYMA.09G230400	K7LFK4_SOYBN	Protein RFT1 homolog
I1KSD8	XP_006584594.1;	GLYMA.08G115700	I1KSD8_SOYBN	DUF676 domain-containing protein
I1MY46	XP_006601360.1;	GLYMA.17G259500	I1MY46_SOYBN	Lipase_GDSL domain-containing protein
I1K7A1	XP_003527283.1;	GLYMA.06G015400	I1K7A1_SOYBN	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1
I1KRB9		GLYMA.08G081000	I1KRB9_SOYBN	Fatty acid hydroxylase domain-containing protein
I1N8V2	XP_003554141.1;	GLYMA.19G132900	I1N8V2_SOYBN	PNPLA domain-containing protein
K7KVV2	XP_014631624.1;	GLYMA.06G187400	K7KVV2_SOYBN	Uncharacterized protein
I1JK81	XP_003521884.1;	GLYMA.03G009100	I1JK81_SOYBN	Post-GPI attachment to proteins factor 3
I1MFJ1	XP_003546159.1;	GLYMA.15G110200	I1MFJ1_SOYBN	Uncharacterized protein
I1N5I8	XP_003554272.1;	GLYMA.19G004800	I1N5I8_SOYBN	Oleosin
I1MQU6	XP_003550552.1;	GLYMA.17G003000	I1MQU6_SOYBN	START domain-containing protein
I1KIA2		GLYMA.07G070600	I1KIA2_SOYBN	Post-GPI attachment to proteins factor 3
K7L116	XP_003529007.1;	GLYMA.07G121500	K7L116_SOYBN	Uncharacterized protein
I1LWB0	XP_003543270.1;XP_014620819.1;	GLYMA.13G074600	I1LWB0_SOYBN	MlaD domain-containing protein
I1MGP5	XP_003546370.1;	GLYMA.15G152100	I1MGP5_SOYBN	Phospholipase (EC 3.1.4.4)
K7KL77	XP_003522441.1;	GLYMA.04G197500	K7KL77_SOYBN	Acyl-[acyl-carrier-protein] hydrolase (EC 3.1.2.-)
I1JMI1	XP_014629158.1;	GLYMA.03G101800	I1JMI1_SOYBN	Uncharacterized protein
I1L2M5	XP_014617578.1;	GLYMA.09G111900	I1L2M5_SOYBN	Uncharacterized protein
I1NFI7	XP_003555901.1;	GLYMA.20G115500	I1NFI7_SOYBN	3-ketoacyl-CoA synthase (EC 2.3.1.-)
K7N361	XP_003555959.1;	GLYMA.20G127800	K7N361_SOYBN	Lipase
I1JDE1	XP_006574798.1;	GLYMA.02G081200	I1JDE1_SOYBN	S5A_REDUCTASE domain-containing protein
K7M363	XP_003541992.1;	GLYMA.13G325000	K7M363_SOYBN	Uncharacterized protein
I1KTZ8	XP_003532927.1;	GLYMA.08G167700	I1KTZ8_SOYBN	Lipase
A0A0R0KVT5		GLYMA.02G129500	A0A0R0KVT5_SOYBN	Phospholipid-transporting ATPase (EC 7.6.2.1)
C6TEM2	NP_001241135.1;	GLYMA.14G216800	C6TEM2_SOYBN	AB hydrolase-1 domain-containing protein
I1MK19	XP_006598836.1;	GLYMA.16G009100	I1MK19_SOYBN	Uncharacterized protein
A0A0R0IY35		GLYMA.07G019500	A0A0R0IY35_SOYBN	Uncharacterized protein
C6THD1	NP_001240944.1;	GLYMA.11G138800	C6THD1_SOYBN	Uncharacterized protein
K7KWI8	XP_006582084.1;	GLYMA.06G218100	K7KWI8_SOYBN	DUF676 domain-containing protein
I1L7R1	XP_003535965.1;	GLYMA.10G014400	I1L7R1_SOYBN	Lipase_3 domain-containing protein
K7L7N1		GLYMA.08G194100	K7L7N1_SOYBN	Phospholipase D (EC 3.1.4.4)
I1J8G4	XP_006573536.1;	GLYMA.01G162100	I1J8G4_SOYBN	Phospholipase D (EC 3.1.4.4)
I1L8I1	XP_003536951.1;XP_014618437.1;	GLYMA.10G041100	I1L8I1_SOYBN	3-oxoacyl-[acyl-carrier-protein] synthase
I1JB48	XP_003519009.1;	GLYMA.02G001500	I1JB48_SOYBN	3-ketoacyl-CoA synthase (EC 2.3.1.-)
I1K243	XP_003524647.1;	GLYMA.05G093000	I1K243_SOYBN	Uncharacterized protein
K7LMB0	XP_003538765.1;XP_006590391.1;	GLYMA.11G003400	K7LMB0_SOYBN	Uncharacterized protein
K7MUF2	XP_006602831.1;	GLYMA.18G239800	K7MUF2_SOYBN	Glyco_transf_28 domain-containing protein
K7LVP7		GLYMA.12G183300	K7LVP7_SOYBN	Fatty acyl-CoA reductase (EC 1.2.1.84)
A0A0R0IH49		GLYMA.09G187400	A0A0R0IH49_SOYBN	Abhydro_lipase domain-containing protein
K7MKF0	XP_006600556.2;	GLYMA.17G075700	K7MKF0_SOYBN	Uncharacterized protein
I1KGJ9	XP_003530109.1;	GLYMA.07G016500	I1KGJ9_SOYBN	Uncharacterized protein
A0A0R0IG75	XP_003530475.1;	GLYMA.08G027000	A0A0R0IG75_SOYBN	Terpene cyclase/mutase family member (EC 5.4.99.-)
I1KQJ7	XP_003530953.1;	GLYMA.08G053000	I1KQJ7_SOYBN	S5A_REDUCTASE domain-containing protein
I1MLJ1	XP_003547652.1;	GLYMA.16G058100	I1MLJ1_SOYBN	Lipase
I1KCL8		GLYMA.06G187400	I1KCL8_SOYBN	Uncharacterized protein
K7MM57	XP_006600986.1;	GLYMA.17G174100	K7MM57_SOYBN	Lipase_3 domain-containing protein
I1LBZ9	XP_003535400.1;	GLYMA.10G174700	I1LBZ9_SOYBN	SMP-LTD domain-containing protein
I1KEV4	XP_003527400.1;	GLYMA.06G285400	I1KEV4_SOYBN	Acyl-coenzyme A oxidase
B3TDK9	XP_003546741.1;	GLYMA.15G026400	B3TDK9_SOYBN	Lipoxygenase (EC 1.13.11.-)
I1LWE5	XP_003543472.1;	GLYMA.13G069800	I1LWE5_SOYBN	Uncharacterized protein
I1KGK2	XP_003530112.1;XP_014633132.1;XP_014633133.1;	GLYMA.07G016700	I1KGK2_SOYBN	Uncharacterized protein
K7MBT4	XP_014622936.1;	GLYMA.15G164900	K7MBT4_SOYBN	Uncharacterized protein
C6TNR9	NP_001239658.1;	GLYMA.17G048000	C6TNR9_SOYBN	Ubiquinone biosynthesis protein
A0A0R0GGE2	XP_003544388.1;	GLYMA.14G220800	A0A0R0GGE2_SOYBN	Lipase_GDSL domain-containing protein
I1J4A4	XP_003517615.1;	GLYMA.01G001500	I1J4A4_SOYBN	Terpene cyclase/mutase family member (EC 5.4.99.-)
K7LS11		GLYMA.11G248000	K7LS11_SOYBN	3-oxoacyl-[acyl-carrier-protein] reductase (EC 1.1.1.100)
I1MCY6	XP_003546669.1;	GLYMA.15G023500	I1MCY6_SOYBN	Phospholipase D (EC 3.1.4.4)
K7LZV5	XP_014621034.1;	GLYMA.13G150200	K7LZV5_SOYBN	Uncharacterized protein
I1KPP5		GLYMA.08G027000	I1KPP5_SOYBN	Terpene cyclase/mutase family member (EC 5.4.99.-)
I1KNG0	XP_003529645.1;	GLYMA.07G262600	I1KNG0_SOYBN	Uncharacterized protein
